make,year,engine_cc,mileage_km,doors,fuel_type,transmission,body_type,state,price,senatran_state,senatran_log_total_fleet,senatran_car_share,senatran_moto_share,senatran_heavy_share,senatran_implement_share
hyundai,2016,1000,97821,4,flex,manual,sedan,rj,55950.76,RIO DE JANEIRO,15.949582320295224,0.7227882785101878,0.2232989186312217,0.0346003212848934,0.0182687139928885
volkswagen,2013,1400,173156,4,flex,automatico,picape,mg,44726.3,MINAS GERAIS,16.5124988005842,0.660705397457793,0.2616035177388799,0.0463363492673804,0.0296624519446734
ford,2022,3000,53077,4,flex,automatico,sedan,pe,115002.48,PERNAMBUCO,15.214205710451596,0.495996084852235,0.437935055856783,0.0417275836431961,0.023294832898797
honda,2024,1400,17770,4,diesel,manual,sedan,pe,107975.65,PERNAMBUCO,15.214205710451596,0.495996084852235,0.437935055856783,0.0417275836431961,0.023294832898797
ford,2020,1400,81491,4,gasolina,automatico,hatch,pe,76769.83,PERNAMBUCO,15.214205710451596,0.495996084852235,0.437935055856783,0.0417275836431961,0.023294832898797
volkswagen,2017,1400,142060,4,eletrico,manual,suv,mg,59403.67,MINAS GERAIS,16.5124988005842,0.660705397457793,0.2616035177388799,0.0463363492673804,0.0296624519446734
toyota,2022,1000,50727,4,diesel,automatico,hatch,pe,99692.67,PERNAMBUCO,15.214205710451596,0.495996084852235,0.437935055856783,0.0417275836431961,0.023294832898797
volkswagen,2014,1400,147723,2,gasolina,manual,hatch,rj,46379.28,RIO DE JANEIRO,15.949582320295224,0.7227882785101878,0.2232989186312217,0.0346003212848934,0.0182687139928885
chevrolet,2016,1400,113109,4,flex,automatico,sedan,mg,62858.42,MINAS GERAIS,16.5124988005842,0.660705397457793,0.2616035177388799,0.0463363492673804,0.0296624519446734
chevrolet,2019,1000,71252,4,gasolina,automatico,sedan,pe,81357.43,PERNAMBUCO,15.214205710451596,0.495996084852235,0.437935055856783,0.0417275836431961,0.023294832898797
hyundai,2012,1600,180455,4,diesel,automatico,hatch,mg,46251.52,MINAS GERAIS,16.5124988005842,0.660705397457793,0.2616035177388799,0.0463363492673804,0.0296624519446734
ford,2016,1400,107158,2,gasolina,manual,suv,ba,64795.15,BAHIA,15.591511850070152,0.53541207861378,0.3887371742634127,0.047306800609733,0.0277161710483118
ford,2020,2000,73073,4,flex,automatico,suv,mg,95893.19,MINAS GERAIS,16.5124988005842,0.660705397457793,0.2616035177388799,0.0463363492673804,0.0296624519446734
honda,2020,2000,64835,4,flex,automatico,hatch,rj,97971.35,RIO DE JANEIRO,15.949582320295224,0.7227882785101878,0.2232989186312217,0.0346003212848934,0.0182687139928885
hyundai,2017,1000,115184,4,diesel,automatico,sedan,sp,69776.96,SAO PAULO,17.398288888904997,0.7206236606229607,0.2142894571361402,0.0369729844709751,0.0255518898477809
honda,2014,1600,149004,4,gasolina,automatico,suv,mg,45345.39,MINAS GERAIS,16.5124988005842,0.660705397457793,0.2616035177388799,0.0463363492673804,0.0296624519446734
chevrolet,2013,1400,171563,4,hibrido,automatico,sedan,pr,40950.17,PARANA,16.11363702604623,0.6878568374986641,0.2132135444163996,0.0541855607225424,0.0399122616697162
toyota,2017,2000,100349,2,flex,automatico,sedan,rj,85125.5,RIO DE JANEIRO,15.949582320295224,0.7227882785101878,0.2232989186312217,0.0346003212848934,0.0182687139928885
volkswagen,2017,1000,103951,4,flex,automatico,sedan,rs,70783.35,RIO GRANDE DO SUL,15.972385020168389,0.7257147292880431,0.1758335794556203,0.0510426966349328,0.0427296054859298
honda,2012,1600,153318,4,flex,automatico,suv,ba,45048.62,BAHIA,15.591511850070152,0.53541207861378,0.3887371742634127,0.047306800609733,0.0277161710483118
bmw,2015,1600,125335,4,gasolina,automatico,picape,rj,88370.59,RIO DE JANEIRO,15.949582320295224,0.7227882785101878,0.2232989186312217,0.0346003212848934,0.0182687139928885
honda,2014,1000,149659,4,flex,automatico,suv,sp,45301.6,SAO PAULO,17.398288888904997,0.7206236606229607,0.2142894571361402,0.0369729844709751,0.0255518898477809
toyota,2011,1000,191354,4,flex,manual,hatch,pe,14847.32,PERNAMBUCO,15.214205710451596,0.495996084852235,0.437935055856783,0.0417275836431961,0.023294832898797
toyota,2017,1600,94167,2,hibrido,automatico,sedan,pe,76230.14,PERNAMBUCO,15.214205710451596,0.495996084852235,0.437935055856783,0.0417275836431961,0.023294832898797
ford,2021,1600,73044,4,flex,automatico,suv,rj,91696.67,RIO DE JANEIRO,15.949582320295224,0.7227882785101878,0.2232989186312217,0.0346003212848934,0.0182687139928885
volkswagen,2023,1400,56334,2,diesel,manual,hatch,rs,91721.28,RIO GRANDE DO SUL,15.972385020168389,0.7257147292880431,0.1758335794556203,0.0510426966349328,0.0427296054859298
toyota,2015,1600,138201,4,flex,automatico,picape,pe,48645.52,PERNAMBUCO,15.214205710451596,0.495996084852235,0.437935055856783,0.0417275836431961,0.023294832898797
hyundai,2011,1400,208151,4,diesel,automatico,picape,ba,34186.37,BAHIA,15.591511850070152,0.53541207861378,0.3887371742634127,0.047306800609733,0.0277161710483118
honda,2025,1600,393,4,flex,manual,hatch,pr,114642.2,PARANA,16.11363702604623,0.6878568374986641,0.2132135444163996,0.0541855607225424,0.0399122616697162
honda,2021,1000,41330,4,eletrico,automatico,picape,rs,94086.23,RIO GRANDE DO SUL,15.972385020168389,0.7257147292880431,0.1758335794556203,0.0510426966349328,0.0427296054859298
