make,year,engine_cc,mileage_km,doors,fuel_type,transmission,body_type,state,actual_price,rf_prediction,tf_prediction,rf_error,tf_error,rf_abs_error,tf_abs_error,tf_better,error_difference
ford,2024,1000,25895,4,hibrido,automatico,hatch,sp,105019.04,114648.03896666646,107086.586,9628.998966666462,2067.5459375000064,9628.998966666462,2067.5459375000064,True,7561.453029166456
bmw,2018,1600,101656,4,diesel,automatico,hatch,mg,120422.31,111502.06426666664,113821.26,-8920.245733333359,-6601.052187499998,8920.245733333359,6601.052187499998,True,2319.193545833361
volkswagen,2015,1000,152990,4,gasolina,manual,sedan,pr,34427.67,42021.821733333316,41097.41,7594.151733333318,6669.740156250002,7594.151733333318,6669.740156250002,True,924.4115770833159
ford,2018,1000,65373,4,flex,manual,picape,mg,69820.35,72850.72579999993,67460.67,3030.3757999999216,-2359.678125000006,3030.3757999999216,2359.678125000006,True,670.6976749999158
honda,2023,1600,20658,4,flex,automatico,hatch,sp,115117.46,111393.3398333335,112613.13,-3724.1201666665,-2504.3271875000064,3724.1201666665,2504.3271875000064,True,1219.7929791664938
honda,2018,1600,107023,2,diesel,automatico,suv,rs,79159.13,75632.71249999989,76003.61,-3526.4175000001123,-3155.5206250000047,3526.4175000001123,3155.5206250000047,True,370.8968750001077
ford,2014,1000,165183,4,diesel,automatico,suv,mg,40584.28,47542.65579999997,42875.89,6958.3757999999725,2291.610625000001,6958.3757999999725,2291.610625000001,True,4666.765174999971
ford,2023,2000,33195,4,flex,manual,sedan,ba,101825.44,110184.30036666656,107360.47,8358.860366666559,5535.028749999998,8358.860366666559,5535.028749999998,True,2823.831616666561
hyundai,2012,1600,158306,4,flex,automatico,hatch,rj,44740.22,46013.66033333329,44582.85,1273.4403333332884,-157.36843750000116,1273.4403333332884,157.36843750000116,True,1116.0718958332873
toyota,2020,1400,57024,4,flex,manual,hatch,pr,85741.95,83350.20063333334,82883.0,-2391.749366666656,-2858.949999999997,2391.749366666656,2858.949999999997,False,-467.2006333333411
bmw,2013,1400,181048,4,gasolina,manual,suv,ba,60614.06,67244.65876666675,68077.73,6630.59876666675,7463.666562500002,6630.59876666675,7463.666562500002,False,-833.0677958332526
toyota,2023,1400,11886,4,flex,manual,sedan,pe,99811.29,104019.59089999997,103204.484,4208.300899999973,3393.1943750000064,4208.300899999973,3393.1943750000064,True,815.1065249999665
bmw,2010,1600,197828,4,flex,automatico,picape,pe,66953.69,56326.34843333336,62433.97,-10627.34156666664,-4519.721250000002,10627.34156666664,4519.721250000002,True,6107.620316666638
chevrolet,2012,1400,167176,4,flex,automatico,sedan,sp,36132.93,38172.87696666671,38672.13,2039.9469666667064,2539.1989062499997,2039.9469666667064,2539.1989062499997,False,-499.2519395832933
