state,municipality,vehicle_type,vehicle_species,axles,vehicle_count,vehicle_class
ACRE,ACRELANDIA,AUTOMOVEL,COLECAO,0,1,CARRO
ACRE,ACRELANDIA,AUTOMOVEL,PASSAGEIRO,0,1339,CARRO
ACRE,ACRELANDIA,AUTOMOVEL,PASSAGEIRO,2,632,CARRO
ACRE,ACRELANDIA,CAMINHAO,CARGA,0,155,PESADO
ACRE,ACRELANDIA,CAMINHAO,CARGA,1,2,PESADO
ACRE,ACRELANDIA,CAMINHAO,CARGA,2,122,PESADO
ACRE,ACRELANDIA,CAMINHAO,CARGA,3,140,PESADO
ACRE,ACRELANDIA,CAMINHAO,CARGA,4,2,PESADO
ACRE,ACRELANDIA,CAMINHAO,ESPECIAL,0,1,PESADO
ACRE,ACRELANDIA,CAMINHAO,ESPECIAL,2,6,PESADO
ACRE,ACRELANDIA,CAMINHAO TRATOR,TRACAO,0,2,PESADO
ACRE,ACRELANDIA,CAMINHAO TRATOR,TRACAO,2,5,PESADO
ACRE,ACRELANDIA,CAMINHAO TRATOR,TRACAO,3,33,PESADO
ACRE,ACRELANDIA,CAMINHONETE,CARGA,0,258,CARRO
ACRE,ACRELANDIA,CAMINHONETE,CARGA,2,96,CARRO
ACRE,ACRELANDIA,CAMINHONETE,ESPECIAL,0,266,CARRO
ACRE,ACRELANDIA,CAMINHONETE,ESPECIAL,2,429,CARRO
ACRE,ACRELANDIA,CAMIONETA,CARGA,0,33,CARRO
ACRE,ACRELANDIA,CAMIONETA,MISTO,0,34,CARRO
ACRE,ACRELANDIA,CAMIONETA,MISTO,2,33,CARRO
ACRE,ACRELANDIA,CICLOMOTOR,PASSAGEIRO,0,7,MOTO
ACRE,ACRELANDIA,MICROONIBUS,PASSAGEIRO,0,4,PESADO
ACRE,ACRELANDIA,MICROONIBUS,PASSAGEIRO,2,11,PESADO
ACRE,ACRELANDIA,MOTOCICLETA,CARGA,0,10,MOTO
ACRE,ACRELANDIA,MOTOCICLETA,PASSAGEIRO,0,4392,MOTO
ACRE,ACRELANDIA,MOTOCICLETA,PASSAGEIRO,2,1,MOTO
ACRE,ACRELANDIA,MOTONETA,PASSAGEIRO,0,597,MOTO
ACRE,ACRELANDIA,MOTOR-CASA,ESPECIAL,2,1,PESADO
ACRE,ACRELANDIA,MOTOR-CASA,ESPECIAL,4,1,PESADO
ACRE,ACRELANDIA,ONIBUS,PASSAGEIRO,0,30,PESADO
ACRE,ACRELANDIA,ONIBUS,PASSAGEIRO,2,20,PESADO
ACRE,ACRELANDIA,REBOQUE,CARGA,0,18,IMPLEMENTO
ACRE,ACRELANDIA,REBOQUE,CARGA,1,89,IMPLEMENTO
ACRE,ACRELANDIA,REBOQUE,CARGA,2,15,IMPLEMENTO
ACRE,ACRELANDIA,REBOQUE,CARGA,3,9,IMPLEMENTO
ACRE,ACRELANDIA,REBOQUE,CARGA,4,1,IMPLEMENTO
ACRE,ACRELANDIA,REBOQUE,ESPECIAL,2,5,IMPLEMENTO
ACRE,ACRELANDIA,REBOQUE,ESPECIAL,3,1,IMPLEMENTO
ACRE,ACRELANDIA,SEMI-REBOQUE,CARGA,0,5,IMPLEMENTO
ACRE,ACRELANDIA,SEMI-REBOQUE,CARGA,1,9,IMPLEMENTO
ACRE,ACRELANDIA,SEMI-REBOQUE,CARGA,2,19,IMPLEMENTO
ACRE,ACRELANDIA,SEMI-REBOQUE,CARGA,3,25,IMPLEMENTO
ACRE,ACRELANDIA,SEMI-REBOQUE,ESPECIAL,2,3,IMPLEMENTO
ACRE,ACRELANDIA,Sem Informação,Sem Informação,0,1,NAO_CLASSIFICADO
ACRE,ACRELANDIA,TRICICLO,CARGA,0,1,MOTO
ACRE,ACRELANDIA,UTILITARIO,MISTO,0,8,CARRO
ACRE,ACRELANDIA,UTILITARIO,MISTO,2,20,CARRO
ACRE,ASSIS BRASIL,AUTOMOVEL,PASSAGEIRO,0,300,CARRO
ACRE,ASSIS BRASIL,AUTOMOVEL,PASSAGEIRO,2,148,CARRO
ACRE,ASSIS BRASIL,CAMINHAO,CARGA,0,16,PESADO
ACRE,ASSIS BRASIL,CAMINHAO,CARGA,2,9,PESADO
ACRE,ASSIS BRASIL,CAMINHAO,CARGA,3,3,PESADO
ACRE,ASSIS BRASIL,CAMINHAO,ESPECIAL,2,1,PESADO
ACRE,ASSIS BRASIL,CAMINHAO TRATOR,TRACAO,3,1,PESADO
ACRE,ASSIS BRASIL,CAMINHONETE,CARGA,0,90,CARRO
ACRE,ASSIS BRASIL,CAMINHONETE,CARGA,2,60,CARRO
ACRE,ASSIS BRASIL,CAMINHONETE,ESPECIAL,0,48,CARRO
ACRE,ASSIS BRASIL,CAMINHONETE,ESPECIAL,2,62,CARRO
ACRE,ASSIS BRASIL,CAMIONETA,CARGA,0,4,CARRO
ACRE,ASSIS BRASIL,CAMIONETA,CARGA,2,2,CARRO
ACRE,ASSIS BRASIL,CAMIONETA,MISTO,0,5,CARRO
