state,municipality,total_fleet,CARRO,MOTO,PESADO,IMPLEMENTO,NAO_CLASSIFICADO,OUTRO
ACRE,ACRELANDIA,8892,3149,5008,535,199,1,0
ACRE,ASSIS BRASIL,2630,738,1808,41,43,0,0
ACRE,BRASILEIA,14893,5676,7524,830,857,6,0
ACRE,BUJARI,3709,1444,1886,246,131,2,0
ACRE,CAPIXABA,3603,1435,1948,135,85,0,0
ACRE,CRUZEIRO DO SUL,49627,14717,33096,1190,572,52,0
ACRE,EPITACIOLANDIA,9494,4225,4415,506,345,3,0
ACRE,FEIJO,6397,1419,4776,139,59,4,0
ACRE,JORDAO,309,67,231,10,1,0,0
ACRE,MANCIO LIMA,5328,1412,3762,136,16,2,0
ACRE,MANOEL URBANO,2042,646,1288,65,43,0,0
ACRE,MARECHAL THAUMATURGO,739,80,639,20,0,0,0
ACRE,PLACIDO DE CASTRO,6709,2555,3762,228,160,4,0
ACRE,PORTO ACRE,5827,2036,3457,241,88,5,0
ACRE,PORTO WALTER,678,76,583,19,0,0,0
ACRE,RIO BRANCO,239307,109395,116382,6964,6256,310,0
ACRE,RODRIGUES ALVES,2887,560,2267,57,3,0,0
ACRE,SANTA ROSA DO PURUS,340,60,265,10,5,0,0
ACRE,SENA MADUREIRA,13762,3755,9638,194,173,2,0
ACRE,SENADOR GUIOMARD,9622,4013,4755,498,352,4,0
ACRE,TARAUACA,7734,1631,5770,238,95,0,0
ACRE,XAPURI,6499,1715,4552,139,93,0,0
ALAGOAS,AGUA BRANCA,6848,2221,4203,353,71,0,0
ALAGOAS,ANADIA,4269,1884,2101,177,107,0,0
ALAGOAS,ARAPIRACA,159798,62170,87198,5681,4718,31,0
ALAGOAS,ATALAIA,11046,5820,4023,559,642,2,0
ALAGOAS,BARRA DE SANTO ANTONIO,4014,1742,2007,122,143,0,0
ALAGOAS,BARRA DE SAO MIGUEL,3336,1661,1500,62,113,0,0
ALAGOAS,BATALHA,5862,2252,3202,276,131,1,0
ALAGOAS,BELEM,1728,591,1041,41,54,1,0
ALAGOAS,BELO MONTE,1272,414,770,71,17,0,0
ALAGOAS,BOCA DA MATA,7951,2866,4338,461,286,0,0
ALAGOAS,BRANQUINHA,2337,791,1391,95,60,0,0
ALAGOAS,CACIMBINHAS,3266,1163,1863,170,70,0,0
ALAGOAS,CAJUEIRO,4414,1646,2430,178,159,1,0
ALAGOAS,CAMPESTRE,913,500,244,130,39,0,0
ALAGOAS,CAMPO ALEGRE,7845,3089,3678,644,417,17,0
ALAGOAS,CAMPO GRANDE,3684,970,2587,90,36,1,0
ALAGOAS,CANAPI,4435,1524,2583,256,71,1,0
ALAGOAS,CAPELA,3109,1321,1496,163,128,1,0
ALAGOAS,CARNEIROS,2187,749,1282,108,48,0,0
ALAGOAS,CHA PRETA,1953,613,1240,61,39,0,0
ALAGOAS,COITE DO NOIA,4301,1220,2883,151,47,0,0
ALAGOAS,COLONIA LEOPOLDINA,2980,1420,1275,234,50,1,0
ALAGOAS,COQUEIRO SECO,1705,741,894,32,38,0,0
ALAGOAS,CORURIPE,20787,7641,11247,887,1008,4,0
ALAGOAS,CRAIBAS,10317,3586,6196,373,162,0,0
ALAGOAS,DELMIRO GOUVEIA,31375,13524,14777,2480,588,6,0
ALAGOAS,DOIS RIACHOS,4398,1295,2750,228,125,0,0
ALAGOAS,ESTRELA DE ALAGOAS,5345,1841,3179,223,100,2,0
ALAGOAS,FEIRA GRANDE,8030,2161,5569,215,85,0,0
ALAGOAS,FELIZ DESERTO,949,454,428,33,34,0,0
ALAGOAS,FLEXEIRAS,2355,1131,1022,120,82,0,0
ALAGOAS,GIRAU DO PONCIANO,15627,5215,9715,524,171,2,0
