state,municipality,vehicle_type,vehicle_species,axles,vehicle_count
ACRE,ACRELANDIA,AUTOMOVEL,COLECAO,0,1
ACRE,ACRELANDIA,AUTOMOVEL,PASSAGEIRO,0,1339
ACRE,ACRELANDIA,AUTOMOVEL,PASSAGEIRO,2,632
ACRE,ACRELANDIA,CAMINHAO,CARGA,0,155
ACRE,ACRELANDIA,CAMINHAO,CARGA,1,2
ACRE,ACRELANDIA,CAMINHAO,CARGA,2,122
ACRE,ACRELANDIA,CAMINHAO,CARGA,3,140
ACRE,ACRELANDIA,CAMINHAO,CARGA,4,2
ACRE,ACRELANDIA,CAMINHAO,ESPECIAL,0,1
ACRE,ACRELANDIA,CAMINHAO,ESPECIAL,2,6
ACRE,ACRELANDIA,CAMINHAO TRATOR,TRACAO,0,2
ACRE,ACRELANDIA,CAMINHAO TRATOR,TRACAO,2,5
ACRE,ACRELANDIA,CAMINHAO TRATOR,TRACAO,3,33
ACRE,ACRELANDIA,CAMINHONETE,CARGA,0,258
ACRE,ACRELANDIA,CAMINHONETE,CARGA,2,96
ACRE,ACRELANDIA,CAMINHONETE,ESPECIAL,0,266
ACRE,ACRELANDIA,CAMINHONETE,ESPECIAL,2,429
ACRE,ACRELANDIA,CAMIONETA,CARGA,0,33
ACRE,ACRELANDIA,CAMIONETA,MISTO,0,34
ACRE,ACRELANDIA,CAMIONETA,MISTO,2,33
ACRE,ACRELANDIA,CICLOMOTOR,PASSAGEIRO,0,7
ACRE,ACRELANDIA,MICROONIBUS,PASSAGEIRO,0,4
ACRE,ACRELANDIA,MICROONIBUS,PASSAGEIRO,2,11
ACRE,ACRELANDIA,MOTOCICLETA,CARGA,0,10
ACRE,ACRELANDIA,MOTOCICLETA,PASSAGEIRO,0,4392
ACRE,ACRELANDIA,MOTOCICLETA,PASSAGEIRO,2,1
ACRE,ACRELANDIA,MOTONETA,PASSAGEIRO,0,597
ACRE,ACRELANDIA,MOTOR-CASA,ESPECIAL,2,1
ACRE,ACRELANDIA,MOTOR-CASA,ESPECIAL,4,1
ACRE,ACRELANDIA,ONIBUS,PASSAGEIRO,0,30
ACRE,ACRELANDIA,ONIBUS,PASSAGEIRO,2,20
ACRE,ACRELANDIA,REBOQUE,CARGA,0,18
ACRE,ACRELANDIA,REBOQUE,CARGA,1,89
