state,total_fleet,CARRO,MOTO,PESADO,IMPLEMENTO,NAO_CLASSIFICADO,OUTRO
ACRE,401028,160804,217812,12441,9576,395,0
ALAGOAS,1290570,602239,594479,53994,39424,434,0
AMAPA,293783,153962,126192,8517,4692,420,0
AMAZONAS,1328112,659380,597150,47113,23882,587,0
BAHIA,5906191,3162246,2295956,279403,163697,4886,3
CEARA,4216786,1867704,2125639,136576,80117,6750,0
DISTRITO FEDERAL,2295890,1874278,318040,58206,36332,9033,1
ESPIRITO SANTO,2749245,1664309,843984,148988,89369,2595,0
GOIAS,5277691,3051770,1608050,229456,375334,13081,0
MARANHAO,2482755,856988,1495722,81388,47629,1028,0
MATO GROSSO,3051305,1467095,1208547,185410,189052,1200,1
MATO GROSSO DO SUL,2076144,1217931,636568,109433,108425,3782,5
MINAS GERAIS,14834984,9801554,3880884,687399,440042,25105,0
Não Identificado,1,0,0,0,0,1,0
Não se Aplica,1,0,0,0,0,1,0
PARA,3154648,1163165,1782328,129702,75915,3538,0
PARAIBA,1863800,886319,895128,56941,25134,278,0
PARANA,9955512,6847967,2122650,539445,397347,48103,0
PERNAMBUCO,4049911,2008740,1773598,168993,94342,4238,0
PIAUI,1683861,655103,944930,59812,23926,90,0
RIO DE JANEIRO,8449199,6106982,1886697,292345,154356,8819,0
RIO GRANDE DO NORTE,1772696,923377,747728,61995,37902,1694,0
RIO GRANDE DO SUL,8644077,6273134,1519919,441217,369358,40449,0
RONDONIA,1330672,548258,678379,55313,48313,408,1
RORAIMA,314445,157375,136299,12408,7975,388,0
SANTA CATARINA,6818282,4667121,1490318,319927,321135,19781,0
SAO PAULO,35973347,25923245,7708709,1330042,919187,92145,19
SERGIPE,1107982,514278,512307,44172,36089,1136,0
Sem Informação,3050292,420584,1658981,106481,356057,508176,13
TOCANTINS,1000887,432974,456241,47539,63747,386,0
