state,total_fleet,CARRO,MOTO,PESADO,IMPLEMENTO,NAO_CLASSIFICADO,OUTRO,car_share,moto_share,heavy_share,implement_share,unclassified_share,other_share,log_total_fleet
ACRE,401028,160804,217812,12441,9576,395,0,0.4009794827293855,0.543134145246716,0.03102277147730333,0.023878631915975942,0.0009849686306193084,0.0,12.901789022875795
ALAGOAS,1290570,602239,594479,53994,39424,434,0,0.46664574567826617,0.46063289864168544,0.04183732769241498,0.030547742470381306,0.00033628551725206694,0.0,14.070595314062505
AMAPA,293783,153962,126192,8517,4692,420,0,0.5240670835276378,0.4295415323555141,0.02899078571598765,0.01597097177168182,0.0014296266291786795,0.0,12.590600082423459
AMAZONAS,1328112,659380,597150,47113,23882,587,0,0.496479212596528,0.44962322454732734,0.035473664871637334,0.017981917187707062,0.0004419807968002699,0.0,14.099269695759983
BAHIA,5906191,3162246,2295956,279403,163697,4886,3,0.53541207861378,0.38873717426341275,0.04730680060973307,0.02771617104831185,0.0008272675231803374,5.079415819772845e-07,15.591511850070152
CEARA,4216786,1867704,2125639,136576,80117,6750,0,0.4429212200951151,0.5040898447300859,0.032388648605833924,0.0189995413568533,0.0016007452121117836,0.0,15.254584021611914
DISTRITO FEDERAL,2295890,1874278,318040,58206,36332,9033,1,0.8163622821650863,0.13852580045211224,0.025352259907922416,0.015824799968639613,0.003934421945302258,4.355609371529124e-07,14.646631561427078
ESPIRITO SANTO,2749245,1664309,843984,148988,89369,2595,0,0.6053694741647252,0.3069875547650355,0.054192332804097125,0.0325067427602851,0.0009438955058570626,0.0,14.826837250229865
GOIAS,5277691,3051770,1608050,229456,375334,13081,0,0.5782396127397379,0.3046881676096611,0.043476588530855634,0.07111708510407297,0.002478546015672384,0.0,15.478999438904996
MARANHAO,2482755,856988,1495722,81388,47629,1028,0,0.3451762256042179,0.6024444618981736,0.032781325583877585,0.01918393075434346,0.00041405615938745467,0.0,14.724879791437743
MATO GROSSO,3051305,1467095,1208547,185410,189052,1200,1,0.4808090308900618,0.39607544968464314,0.0607641648409451,0.06195775250261773,0.0003932743531046552,3.2772862758721266e-07,14.931080253654851
MATO GROSSO DO SUL,2076144,1217931,636568,109433,108425,3782,5,0.5866312741312741,0.3066107167903575,0.052709734970214014,0.052224219514638674,0.001821646282724127,2.4083107915443243e-06,14.546023366686226
MINAS GERAIS,14834984,9801554,3880884,687399,440042,25105,0,0.660705397457793,0.2616035177388799,0.0463363492673804,0.02966245194467348,0.0016922835912731688,0.0,16.5124988005842
Não Identificado,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.6931471805599453
Não se Aplica,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.6931471805599453
PARA,3154648,1163165,1782328,129702,75915,3538,0,0.3687146711772597,0.5649847463171802,0.04111457126119935,0.024064491505866897,0.0011215197384938035,0.0,14.964387795787507
PARAIBA,1863800,886319,895128,56941,25134,278,0,0.4755440497907501,0.4802704152806095,0.03055102478806739,0.013485352505633652,0.00014915763493937118,0.0,14.438128508871804
PARANA,9955512,6847967,2122650,539445,397347,48103,0,0.6878568374986641,0.21321354441639967,0.05418556072254245,0.03991226166971623,0.004831795692677584,0.0,16.11363702604623
PERNAMBUCO,4049911,2008740,1773598,168993,94342,4238,0,0.495996084852235,0.43793505585678305,0.04172758364319611,0.023294832898797035,0.0010464427489888049,0.0,15.214205710451596
PIAUI,1683861,655103,944930,59812,23926,90,0,0.3890481458980284,0.5611686475308829,0.03552074666495631,0.014209011313879234,5.344859225316104e-05,0.0,14.33660052268304
RIO DE JANEIRO,8449199,6106982,1886697,292345,154356,8819,0,0.7227882785101878,0.22329891863122173,0.0346003212848934,0.018268713992888555,0.0010437675808085477,0.0,15.949582320295224
RIO GRANDE DO NORTE,1772696,923377,747728,61995,37902,1694,0,0.520888522341112,0.4218027230839354,0.03497215540622871,0.021380992567253496,0.0009556066014703028,0.0,14.388012673666715
RIO GRANDE DO SUL,8644077,6273134,1519919,441217,369358,40449,0,0.7257147292880431,0.1758335794556203,0.0510426966349328,0.04272960548592985,0.00467938913547392,0.0,15.972385020168387
RONDONIA,1330672,548258,678379,55313,48313,408,1,0.41201588370387293,0.5098018144215855,0.041567719167458245,0.036307219209542246,0.00030661199754710404,7.514999939880001e-07,14.101195387253094
RORAIMA,314445,157375,136299,12408,7975,388,0,0.5004849814752977,0.4334589514859514,0.03946000095406192,0.02536214600327561,0.0012339200814132838,0.0,12.658567639267432
SANTA CATARINA,6818282,4667121,1490318,319927,321135,19781,0,0.6845010223983109,0.21857676171211457,0.046921937227002344,0.04709910795710708,0.002901170705465101,0.0,15.735118238592102
SAO PAULO,35973347,25923245,7708709,1330042,919187,92145,19,0.7206236606229607,0.21428945713614025,0.036972984470975134,0.025551889847780913,0.0025614797533295972,5.281688134273411e-07,17.398288888904997
SERGIPE,1107982,514278,512307,44172,36089,1136,0,0.4641573599571112,0.4623784501914291,0.03986707365282108,0.03257182878422213,0.0010252874144164796,0.0,13.918051803211373
Sem Informação,3050292,420584,1658981,106481,356057,508176,13,0.13788319282219538,0.543876127269127,0.03490846122272884,0.11672882465023021,0.16659913214865987,4.261887058681595e-06,14.930748209543363
TOCANTINS,1000887,432974,456241,47539,63747,386,0,0.4325902924106318,0.45583667287116325,0.04749687027606513,0.06369050652071613,0.0003856579214236972,0.0,13.816398163925529
