make,year,engine_cc,mileage_km,doors,fuel_type,transmission,body_type,state,price
hyundai,2016,1000,97821,4,flex,manual,sedan,rj,55950.76
volkswagen,2013,1400,173156,4,flex,automatico,picape,mg,44726.3
ford,2022,3000,53077,4,flex,automatico,sedan,pe,115002.48
honda,2024,1400,17770,4,diesel,manual,sedan,pe,107975.65
ford,2020,1400,81491,4,gasolina,automatico,hatch,pe,76769.83
volkswagen,2017,1400,142060,4,eletrico,manual,suv,mg,59403.67
toyota,2022,1000,50727,4,diesel,automatico,hatch,pe,99692.67
volkswagen,2014,1400,147723,2,gasolina,manual,hatch,rj,46379.28
chevrolet,2016,1400,113109,4,flex,automatico,sedan,mg,62858.42
chevrolet,2019,1000,71252,4,gasolina,automatico,sedan,pe,81357.43
hyundai,2012,1600,180455,4,diesel,automatico,hatch,mg,46251.52
ford,2016,1400,107158,2,gasolina,manual,suv,ba,64795.15
ford,2020,2000,73073,4,flex,automatico,suv,mg,95893.19
honda,2020,2000,64835,4,flex,automatico,hatch,rj,97971.35
hyundai,2017,1000,115184,4,diesel,automatico,sedan,sp,69776.96
honda,2014,1600,149004,4,gasolina,automatico,suv,mg,45345.39
chevrolet,2013,1400,171563,4,hibrido,automatico,sedan,pr,40950.17
toyota,2017,2000,100349,2,flex,automatico,sedan,rj,85125.5
volkswagen,2017,1000,103951,4,flex,automatico,sedan,rs,70783.35
honda,2012,1600,153318,4,flex,automatico,suv,ba,45048.62
bmw,2015,1600,125335,4,gasolina,automatico,picape,rj,88370.59
honda,2014,1000,149659,4,flex,automatico,suv,sp,45301.6
toyota,2011,1000,191354,4,flex,manual,hatch,pe,14847.32
toyota,2017,1600,94167,2,hibrido,automatico,sedan,pe,76230.14
ford,2021,1600,73044,4,flex,automatico,suv,rj,91696.67
volkswagen,2023,1400,56334,2,diesel,manual,hatch,rs,91721.28
toyota,2015,1600,138201,4,flex,automatico,picape,pe,48645.52
hyundai,2011,1400,208151,4,diesel,automatico,picape,ba,34186.37
honda,2025,1600,393,4,flex,manual,hatch,pr,114642.2
honda,2021,1000,41330,4,eletrico,automatico,picape,rs,94086.23
chevrolet,2014,2000,117319,4,eletrico,manual,sedan,rj,54390.96
toyota,2010,1000,214440,4,flex,manual,suv,rs,12000.0
bmw,2021,1400,69815,4,flex,automatico,sedan,pe,122532.43
ford,2019,1000,83166,4,flex,manual,sedan,pe,64998.52
volkswagen,2015,1000,136199,4,gasolina,manual,suv,rj,40454.31
bmw,2022,1400,31117,4,diesel,automatico,suv,pe,140965.48
ford,2021,1000,96686,4,flex,manual,hatch,pe,73018.51
honda,2018,2000,97938,4,gasolina,automatico,sedan,pr,92041.75
bmw,2010,1000,193640,4,flex,automatico,hatch,pr,61089.76
ford,2020,1400,82886,4,diesel,manual,sedan,sp,83408.9
honda,2020,1400,79215,4,hibrido,manual,sedan,pr,79319.46
honda,2024,1000,27358,4,flex,automatico,sedan,mg,116467.7
honda,2019,1000,72142,4,flex,automatico,sedan,rs,78588.67
honda,2025,1400,19072,4,flex,manual,hatch,rs,111282.89
